day_of_week,time
Wednesday,21:23:53
Monday,00:30:25
Tuesday,03:44:28
Friday,00:02:55
Saturday,02:58:54
Tuesday,00:16:44
Monday,10:58:09
Saturday,09:52:15
Sunday,02:43:09
Thursday,19:41:11
Thursday,21:14:37
Tuesday,00:54:54
Friday,07:40:27
Monday,13:10:36
Thursday,18:00:26
Tuesday,06:29:09
Friday,14:24:50
Monday,21:13:38
Tuesday,00:37:40
Wednesday,21:01:20
Saturday,21:49:59
Monday,22:32:48
Friday,08:01:40
Wednesday,16:21:53
Wednesday,21:27:32
Saturday,02:47:54
Wednesday,21:03:43
Wednesday,16:46:51
Sunday,10:49:03
Tuesday,21:05:44
Saturday,01:31:52
Wednesday,18:48:51
Thursday,17:42:25
Monday,04:21:04
Thursday,17:27:55
Sunday,03:35:29
Wednesday,14:49:42
Wednesday,18:04:49
Wednesday,02:02:31
Tuesday,18:46:59
Thursday,23:27:08
Wednesday,18:58:35
Tuesday,02:49:42
Friday,14:48:32
Thursday,19:34:05
Tuesday,01:48:02
Monday,07:56:42
Sunday,20:23:17
Saturday,22:06:22
Saturday,02:22:10
Saturday,00:22:23
Thursday,14:22:53
Monday,14:03:59
Wednesday,14:42:25
Tuesday,11:41:07
Saturday,20:21:11
Friday,18:37:39
Tuesday,19:52:07
Thursday,13:22:38
Thursday,21:47:22
Monday,08:58:19
Thursday,11:26:00
Thursday,22:50:59
Friday,06:17:02
Wednesday,09:42:48
Friday,12:00:53
Friday,21:37:36
Saturday,20:33:53
Thursday,15:14:29
Saturday,16:01:07
Friday,07:32:35
Tuesday,11:11:34
Sunday,16:38:04
Tuesday,00:52:43
Thursday,14:28:17
Wednesday,19:05:49
Saturday,18:07:46
Tuesday,21:48:01
Wednesday,11:41:30
Monday,22:40:29
Saturday,02:38:14
Tuesday,14:02:08
Thursday,10:44:37
Wednesday,01:47:09
Thursday,21:56:58
Friday,03:05:42
Friday,20:22:26
Monday,01:03:27
Monday,11:41:37
Tuesday,20:43:04
Tuesday,20:43:19
Friday,05:00:00
Tuesday,02:53:06
Tuesday,11:04:44
Thursday,19:09:27
Saturday,13:47:21
Sunday,16:25:27
Wednesday,20:29:06
Wednesday,23:05:16
Saturday,12:34:32
Monday,21:17:09
Monday,17:57:24
Tuesday,17:39:24
Wednesday,05:34:23
Monday,23:08:25
Monday,09:39:42
Wednesday,01:20:19
Wednesday,17:42:42
Saturday,09:22:39
Sunday,22:07:01
Tuesday,21:31:28
Thursday,01:29:44
Sunday,08:56:31
Thursday,17:45:36
Thursday,18:41:26
Wednesday,22:43:15
Sunday,21:39:40
Monday,05:24:50
Friday,00:01:30
Saturday,17:33:33
Wednesday,02:12:15
Monday,23:37:49
Friday,02:40:52
Friday,19:43:01
Monday,23:41:08
Thursday,18:43:14
Friday,01:58:51
