day_of_week,time
Saturday,15:48:46
Thursday,11:32:14
Thursday,23:51:38
Friday,12:22:18
Sunday,22:57:07
Friday,20:07:00
Tuesday,17:43:11
Wednesday,01:02:02
Friday,23:09:00
Thursday,20:40:46
Friday,12:01:49
Wednesday,04:02:40
Wednesday,16:05:30
Wednesday,04:50:18
Wednesday,19:49:18
Sunday,22:26:22
Sunday,21:40:18
Saturday,17:44:48
Tuesday,22:19:31
Friday,05:12:28
Wednesday,11:48:41
Thursday,22:44:49
Sunday,15:23:06
Tuesday,02:31:04
Monday,04:27:52
Friday,00:21:03
Thursday,06:18:28
Wednesday,16:54:27
Saturday,22:01:19
Tuesday,02:52:56
Tuesday,01:11:50
Saturday,01:56:55
Saturday,01:41:42
Saturday,23:37:03
Wednesday,00:31:44
Tuesday,03:24:45
Thursday,21:25:57
Sunday,17:51:04
Friday,21:20:00
Tuesday,05:48:11
Friday,20:40:50
Monday,05:35:37
Friday,20:01:38
Tuesday,13:14:12
Saturday,16:14:43
Tuesday,01:37:28
Friday,18:28:42
Monday,22:05:01
Saturday,21:41:28
Tuesday,22:42:12
Sunday,03:27:29
Saturday,12:40:55
Monday,22:07:38
Tuesday,19:27:44
Wednesday,04:05:05
Saturday,04:08:45
Thursday,18:40:52
Wednesday,19:01:35
Tuesday,14:08:47
Tuesday,17:47:56
Friday,04:42:34
Saturday,23:38:54
Tuesday,16:52:15
Thursday,21:15:37
Tuesday,15:36:01
Monday,16:46:51
Tuesday,01:04:07
Wednesday,01:18:42
Saturday,22:17:36
Thursday,12:36:51
Sunday,21:10:02
Monday,10:27:31
Friday,04:16:55
Thursday,20:23:34
Friday,20:02:09
Friday,18:16:52
Saturday,11:05:02
Friday,03:14:12
Saturday,00:08:43
Thursday,14:40:46
Wednesday,23:57:16
Wednesday,07:06:33
Friday,07:52:21
Thursday,20:29:32
Saturday,02:34:42
Wednesday,23:41:34
Friday,19:41:04
Tuesday,02:46:54
Tuesday,05:23:43
Tuesday,02:46:33
Thursday,18:16:54
Monday,22:46:37
Friday,10:53:31
Friday,04:22:26
Friday,20:15:10
Sunday,04:02:11
Monday,02:22:33
Tuesday,02:01:02
Saturday,17:46:02
Monday,21:11:39
Tuesday,16:31:32
Wednesday,14:04:24
Wednesday,15:32:03
Friday,16:24:54
Friday,16:42:24
Friday,19:18:05
Wednesday,05:04:05
Friday,02:03:20
Friday,03:44:01
Tuesday,11:01:59
Friday,19:46:08
Thursday,05:57:15
Monday,07:56:01
Monday,03:04:40
Saturday,21:26:28
Sunday,18:22:28
Tuesday,11:16:39
Wednesday,15:19:00
Tuesday,18:59:34
Monday,00:50:29
Friday,17:16:28
Saturday,21:04:42
Sunday,19:39:55
Monday,09:56:43
Tuesday,19:58:07
Thursday,20:28:45
Friday,17:51:59
Tuesday,02:23:17
Saturday,15:09:23
Tuesday,01:26:34
Monday,08:04:48
Saturday,19:42:42
Sunday,00:58:45
Friday,12:35:40
Tuesday,21:42:12
Friday,08:39:20
Monday,21:06:36
Tuesday,22:49:45
Tuesday,11:31:15
Wednesday,17:40:59
Saturday,02:45:10
Tuesday,00:37:23
Friday,15:00:05
Monday,14:13:25
Friday,02:01:45
Sunday,18:43:03
Wednesday,22:38:21
Saturday,02:15:29
Monday,01:24:33
Monday,16:28:24
Monday,03:53:33
Thursday,22:15:45
Wednesday,23:31:57
Monday,19:12:08
Thursday,00:40:47
Thursday,03:58:47
Friday,20:35:30
Tuesday,18:42:46
Wednesday,05:22:41
Sunday,23:38:06
Saturday,21:41:34
Wednesday,19:19:35
Friday,13:45:35
Sunday,21:12:21
Wednesday,03:43:54
Sunday,22:01:03
Saturday,01:26:39
Tuesday,12:05:00
Wednesday,05:27:46
Tuesday,15:42:02
Saturday,08:24:42
Friday,01:54:10
Saturday,16:42:51
Monday,19:48:35
Sunday,06:24:01
Friday,18:14:37
Monday,23:18:00
Wednesday,13:45:47
Friday,01:55:01
Thursday,23:49:51
Wednesday,20:25:38
Friday,04:00:51
Sunday,09:35:23
Thursday,20:07:04
Friday,18:55:32
Monday,17:13:47
Wednesday,12:57:00
Saturday,23:23:57
Monday,18:42:02
Monday,21:21:51
Sunday,00:42:37
Thursday,19:53:04
Friday,18:50:33
Thursday,18:06:48
Monday,11:36:17
Tuesday,23:00:00
Wednesday,22:44:24
Monday,07:57:10
Friday,22:01:02
Monday,07:01:35
Thursday,22:35:43
Thursday,18:40:35
Thursday,21:32:23
Friday,14:47:16
Wednesday,01:09:35
Saturday,15:45:34
Sunday,02:50:03
Saturday,09:44:32
Thursday,12:07:08
Wednesday,16:40:55
Thursday,23:31:21
Tuesday,18:42:31
Saturday,23:45:06
Thursday,05:51:26
Tuesday,12:42:03
Friday,00:16:14
Thursday,15:26:22
Monday,13:41:33
Saturday,20:00:17
Thursday,18:48:18
Monday,18:19:41
Tuesday,18:02:03
Wednesday,18:23:26
Tuesday,17:21:40
Tuesday,12:47:53
Wednesday,15:14:34
Wednesday,23:22:59
Friday,14:45:23
Thursday,13:16:14
Wednesday,01:00:16
Wednesday,18:23:02
Sunday,19:28:59
Saturday,01:46:39
Tuesday,18:19:09
Saturday,02:58:17
Wednesday,10:24:05
Tuesday,21:21:46
Saturday,15:09:12
Wednesday,23:17:37
Saturday,01:35:11
Friday,22:10:53
Monday,22:27:50
Monday,01:24:42
Monday,20:20:11
Tuesday,03:22:02
Thursday,04:39:28
Sunday,20:33:38
Saturday,00:55:03
Sunday,22:52:14
Monday,17:08:13
Monday,10:55:28
Tuesday,20:43:32
Tuesday,16:35:35
Sunday,00:33:47
Tuesday,00:27:36
Monday,17:23:21
Wednesday,16:45:49
Thursday,10:12:41
Thursday,02:13:09
Monday,19:21:29
Wednesday,20:39:26
Wednesday,20:10:47
Friday,20:42:03
Saturday,02:32:36
Thursday,17:28:22
Tuesday,18:40:00
Friday,20:19:37
Thursday,06:59:27
Thursday,21:16:28
Wednesday,23:20:01
Thursday,14:41:16
Thursday,04:14:36
Wednesday,02:44:24
Saturday,02:21:41
Saturday,08:57:02
Tuesday,10:01:56
Saturday,01:31:02
Sunday,11:41:09
Sunday,14:58:55
Tuesday,21:08:24
Sunday,17:27:22
Tuesday,01:32:19
Tuesday,00:18:18
Sunday,08:13:53
Saturday,03:43:41
Friday,23:42:42
Thursday,08:06:31
Saturday,14:41:48
Monday,23:50:47
Thursday,16:03:15
Friday,16:31:38
Wednesday,05:02:36
Wednesday,00:37:41
Wednesday,18:17:16
Friday,02:22:35
Wednesday,19:31:48
Thursday,22:40:46
Friday,23:25:22
Friday,21:56:44
Saturday,23:15:45
Thursday,12:42:01
Friday,06:51:59
Thursday,22:58:56
Saturday,16:50:56
Wednesday,13:21:39
Wednesday,20:59:23
Saturday,21:49:27
Friday,16:16:19
Saturday,00:21:36
Thursday,21:48:49
Wednesday,02:27:05
Thursday,12:22:12
Tuesday,09:27:05
Monday,20:47:08
Thursday,14:22:12
Wednesday,12:21:43
Thursday,16:14:48
Tuesday,16:07:47
Sunday,22:33:59
Monday,22:53:42
Thursday,22:31:31
Monday,20:06:49
Saturday,23:37:32
Monday,04:54:44
Monday,01:49:15
Wednesday,00:47:15
Thursday,12:39:48
Tuesday,23:13:31
Wednesday,13:56:47
Thursday,19:17:46
Saturday,23:48:33
Wednesday,01:11:29
Thursday,23:27:42
Friday,17:22:49
Friday,22:24:58
Friday,13:00:02
Sunday,01:50:34
Wednesday,21:40:13
Thursday,16:55:12
Wednesday,22:02:13
Saturday,03:19:21
Thursday,16:54:01
Tuesday,01:38:25
Monday,03:57:18
Saturday,03:41:41
Friday,12:31:28
Monday,09:09:23
Monday,20:24:06
Thursday,22:27:46
Thursday,04:30:35
Wednesday,14:37:21
Tuesday,01:22:41
Wednesday,17:21:39
Thursday,05:26:54
Saturday,09:05:52
Wednesday,14:21:29
Monday,01:59:40
Friday,02:35:25
Saturday,22:53:27
Wednesday,21:27:29
Wednesday,19:00:28
Monday,20:57:06
Sunday,15:40:13
Saturday,23:33:05
Thursday,03:46:37
Wednesday,19:50:30
Thursday,21:46:52
Friday,22:16:29
Tuesday,05:41:12
Saturday,16:55:30
Friday,13:58:02
Thursday,14:51:36
Tuesday,18:15:58
Friday,09:58:41
Friday,02:18:49
Saturday,17:05:31
Tuesday,22:31:49
Saturday,02:53:46
Thursday,20:25:37
Sunday,03:32:40
Friday,12:31:31
Saturday,08:46:37
Friday,04:52:41
Thursday,03:52:34
Tuesday,00:48:48
Tuesday,17:02:31
Friday,14:56:42
Friday,18:44:53
Tuesday,10:35:05
Saturday,14:00:17
Saturday,19:19:13
Sunday,08:05:55
Friday,09:22:25
Friday,00:38:46
Thursday,06:34:21
Tuesday,21:43:06
Saturday,18:31:59
Wednesday,02:20:11
Sunday,08:49:40
Sunday,21:57:36
Saturday,23:20:39
Wednesday,14:04:53
Thursday,22:00:14
Monday,08:08:58
Thursday,16:53:06
Friday,03:25:38
Monday,12:40:41
Thursday,15:21:50
Saturday,10:55:42
Tuesday,04:07:17
Saturday,15:08:19
Saturday,01:09:50
Friday,20:19:30
Friday,15:01:42
Friday,19:22:00
Wednesday,01:08:56
Wednesday,06:56:01
Thursday,20:10:50
Thursday,22:23:21
Thursday,00:31:43
Sunday,19:44:41
Saturday,11:16:37
Friday,01:59:46
Friday,22:24:07
Friday,19:28:01
Monday,18:31:30
Monday,19:07:35
Saturday,14:27:15
Saturday,08:36:49
Wednesday,00:15:47
Friday,00:59:13
Wednesday,20:20:30
Friday,20:54:38
Thursday,17:23:49
Tuesday,03:46:23
Monday,02:17:44
Sunday,07:21:33
Wednesday,09:21:38
Thursday,06:10:34
Friday,21:27:48
Sunday,02:33:18
Friday,05:25:34
Thursday,18:01:07
Saturday,21:07:53
Saturday,21:40:14
Thursday,18:29:30
Monday,16:25:56
Monday,22:57:24
Thursday,04:05:28
Thursday,00:34:16
Monday,21:04:47
Monday,02:13:31
Saturday,15:05:37
Monday,18:01:54
Monday,22:53:59
Saturday,02:31:16
Wednesday,03:49:19
Monday,12:32:02
Monday,21:39:45
Sunday,20:30:36
Friday,15:12:57
Monday,00:49:39
Saturday,23:04:30
Thursday,23:27:04
Saturday,21:23:29
Thursday,11:42:18
Monday,20:16:09
Tuesday,15:39:44
Thursday,20:27:24
Sunday,21:25:06
Sunday,21:01:08
Friday,21:59:44
Saturday,19:20:32
Sunday,14:58:29
Thursday,13:09:18
Thursday,15:50:27
Saturday,04:33:45
Saturday,07:09:31
Saturday,15:39:16
Friday,00:36:20
Monday,19:22:57
Wednesday,19:34:56
Wednesday,06:41:34
Friday,01:15:51
Thursday,20:49:02
Saturday,19:25:08
Tuesday,17:20:39
Friday,13:12:03
Thursday,04:14:19
Saturday,00:11:17
Friday,02:31:18
Thursday,05:58:26
Tuesday,21:07:06
Tuesday,20:02:04
Thursday,14:42:53
Thursday,19:04:12
Friday,20:29:02
Friday,22:23:17
Saturday,14:20:10
Friday,18:17:49
Wednesday,18:52:34
Wednesday,17:05:09
Tuesday,20:42:54
Wednesday,22:48:28
Thursday,04:49:11
Thursday,01:54:05
Wednesday,23:11:38
Saturday,02:31:27
Tuesday,11:26:25
Wednesday,22:48:50
Friday,21:00:55
Monday,22:02:44
Wednesday,07:27:49
Tuesday,00:05:21
Thursday,13:15:13
Saturday,00:21:50
Thursday,03:57:04
Friday,20:22:29
Tuesday,05:06:31
Friday,14:34:59
Thursday,21:29:14
Friday,17:09:46
Friday,17:44:38
Saturday,01:21:30
Wednesday,10:18:45
Saturday,18:53:10
Monday,23:42:09
Friday,14:28:34
Tuesday,21:31:56
Thursday,18:47:30
Friday,05:56:42
Friday,09:11:58
Friday,08:11:31
Tuesday,19:46:38
Friday,13:22:50
Wednesday,05:38:16
Thursday,14:37:05
Tuesday,03:42:39
Tuesday,23:53:18
Wednesday,21:18:46
Saturday,02:48:05
Wednesday,22:13:46
Thursday,21:51:57
Thursday,03:26:14
Thursday,12:42:19
Thursday,01:10:46
Thursday,02:46:43
Tuesday,18:00:21
Tuesday,01:37:12
Wednesday,22:19:04
Friday,13:49:21
Thursday,04:41:50
Wednesday,16:02:25
Friday,15:11:27
Friday,02:14:08
Monday,01:37:53
Saturday,11:07:30
Tuesday,06:59:28
Saturday,20:36:15
Saturday,21:22:43
Friday,23:51:09
Saturday,21:55:40
Friday,06:19:08
Friday,22:36:35
Monday,16:10:59
Friday,18:39:31
Thursday,21:39:53
Monday,23:00:38
Sunday,21:42:10
Tuesday,22:14:18
Wednesday,20:15:40
Wednesday,23:21:46
Saturday,23:52:14
Monday,20:50:42
Saturday,03:48:20
Tuesday,20:21:47
Friday,23:22:20
Friday,20:09:56
Tuesday,01:30:49
Sunday,00:20:45
Wednesday,11:32:19
Thursday,23:11:15
Tuesday,19:53:43
Friday,19:02:42
Monday,02:17:25
Saturday,21:27:14
Tuesday,19:55:42
Saturday,03:26:11
Wednesday,22:34:13
Tuesday,10:11:19
Saturday,22:26:56
Sunday,09:07:56
Thursday,05:52:39
Saturday,22:13:25
Monday,02:23:27
Friday,05:51:09
Friday,14:14:12
Thursday,21:01:34
Wednesday,16:15:23
Saturday,17:54:34
Sunday,17:54:45
Saturday,08:27:22
Wednesday,00:08:59
Sunday,00:37:38
Thursday,08:22:09
Saturday,15:43:30
Wednesday,17:26:05
Saturday,01:09:22
Tuesday,12:02:00
Saturday,17:18:22
Tuesday,20:43:37
Thursday,02:55:07
Wednesday,13:46:54
Friday,21:45:25
Saturday,16:14:18
Saturday,16:01:12
Tuesday,23:26:46
Wednesday,23:39:34
Wednesday,21:54:50
Wednesday,12:59:59
Thursday,20:29:09
Saturday,04:50:48
Thursday,09:08:23
Thursday,05:44:54
Monday,03:46:00
Tuesday,21:16:19
Saturday,00:58:18
Tuesday,23:34:55
Thursday,15:56:02
Tuesday,22:07:13
Monday,17:41:56
Wednesday,23:59:51
Thursday,03:24:26
Friday,06:44:45
Wednesday,08:46:52
Saturday,01:06:34
Friday,18:42:08
Wednesday,01:58:23
Monday,07:20:35
Tuesday,03:01:15
Wednesday,22:00:47
Saturday,21:21:20
Saturday,15:38:46
Monday,07:02:01
Wednesday,02:32:04
Wednesday,23:26:56
Wednesday,18:27:25
Wednesday,13:26:43
Wednesday,14:02:25
Thursday,23:08:57
Monday,02:37:05
Saturday,17:17:11
Monday,17:29:18
Wednesday,03:44:17
Thursday,13:03:54
Tuesday,18:35:55
Wednesday,23:41:16
Wednesday,15:23:31
Wednesday,00:41:13
Friday,20:52:17
Tuesday,01:21:06
Wednesday,16:04:07
Monday,16:47:44
Wednesday,15:23:48
Sunday,18:18:30
Wednesday,04:07:20
Friday,23:24:15
Tuesday,14:46:46
Wednesday,19:32:58
Wednesday,19:30:12
Tuesday,03:19:15
Tuesday,19:48:41
Friday,10:41:10
Tuesday,22:02:57
Saturday,15:51:23
Monday,19:47:36
Friday,17:11:32
Sunday,15:39:33
Thursday,18:56:00
Monday,22:37:16
Friday,19:16:55
Thursday,16:37:58
Friday,21:32:24
Monday,18:42:45
Thursday,23:08:18
Wednesday,16:35:16
Monday,01:30:59
Thursday,21:41:06
Sunday,02:41:56
Saturday,02:53:43
Monday,21:49:15
Friday,13:45:40
Wednesday,22:06:56
Tuesday,19:22:22
Wednesday,21:22:20
Sunday,23:42:18
Friday,15:16:26
Friday,18:15:49
Tuesday,18:22:10
Friday,06:44:52
